1#1 1
30#4 4+√4+4!
30#5 5+5*5
30#6 6*6-6
30#7 7!/((77/7-7)!)/7
30#8 8+88/√(8+8)
30#9 √9+√9*9
31#1 √(1+1)^(11-1)-1
31#2 (√(√(2)^((2+2)!))-2)/2
31#3 33-3!/3
31#4 4!+(4!+4)/4
31#5 55-5!/5
31#6 (6+√(6)^6)/6-6
31#7 7+(77/7-7)!
31#8 (√(√(8+8)^8)-8)/8
31#9 (99-(√9)!)/√9
32#1 √(1+1)^(11-1)
32#2 2*2^(2+2)
32#3 33-3/3
32#4 4*(4+4)
32#5 ((5+5)/5)^5
32#6 6+6+6!/6/6
32#7 7+7+7+77/7
32#8 8*√(8+8)
32#9 (99-√9)/√9
33#1 (1+1+1)*11
33#2 22+22/2
33#3 33
33#4 (√4+√√(√(4)^(4!)))/√4
33#5 5+5+(5!-5)/5
33#6 6/((6+6)/66)
33#7 7!/(7*7+77)-7
33#8 (8+√(√(8+8)^8))/8
33#9 99/√9
34#1 1+(1+1+1)*11
34#2 (2+2+2)^2-2
34#3 3/3+33
34#4 √4+4*(4+4)
34#5 5+5+5!/5
34#6 (√(6)^6-6-6)/6
34#7 777/7-77
34#8 √√(8+8)+8*√(8+8)
34#9 (√9+99)/√9
35#1 (1+1+1+1)!+11
35#2 (2+2)!+22/2
35#3 3!/3+33
35#4 4!+44/4
35#5 5+5+5*5
35#6 (√(6)^6-6)/6
35#7 7*7-7-7
35#8 (√(8+8))!+88/8
35#9 ((√9)!+99)/√9
36#1 ((1+1+1)!)^(1+1)
36#2 (2+2+2)^2
36#3 3!*3!
36#4 √(4!/4)^4
36#5 5*5+55/5
36#6 6*6
36#7 7/7+7*7-7-7
36#8 √(√(8-√√(8+8))^8)
36#9 (√9)!*(√9)!
37#1 111/(1+1+1)
37#2 222/(2+2+2)
37#3 3!*3!+3/3
37#4 4!+(√4+4!)/√4
37#5 5+((5+5)/5)^5
37#6 (6+√(6)^6)/6
37#7 777/(7+7+7)
37#8 888/((√(8+8))!)
37#9 (√9)!!/(9+9)-√9
38#1 1+111/(1+1+1)
38#2 2*(22-2)-2
38#3 3!*3!+3!/3
38#4 44-√4-4
38#5 (5!+5!)/5-5-5
38#6 (6+6+√(6)^6)/6
38#7 7*7-77/7
38#8 8+8+88/√(8+8)
38#9 (√9)!*((√9)!+√9/9)
39#1 (1+1+1)*(1+1+11)
39#2 2*(22-2)-2/2
39#3 3!+33
39#4 44-4/4-4
