951,1,(1+1+1)!!+11*(11+11-1),l(1+1+1r)!!+11tl(11+11-1r)
951,2,√(√(2+2/2)^((2+2)!))+222,s{{s{2+f{x2}{x2}}}^{l(2+2r)!}}+222
951,3,3!+3^(3!)+(3!)^3,3!+{3}^{3!}+{3!}^{3}
951,4,4!*(4!+√√(√(√4+√4/4)^(4!))),4!tl(4!+s{\!\!s{{s{s{4}+f{xs{4}}{x4}}}^{4!}}}r)
951,5,5/5+(5+5)*(5!-5*5),f{x5}{x5}+l(5+5r)tl(5!-5t5r)
951,6,6!+(6!+666)/6,6!+f{x6!+666}{x6}
951,7,(7!+(7+7+7)*77)/7,f{x7!+l(7+7+7r)t77}{x7}
951,8,8+(8!-8)/8-√8^8,8+f{x8!-8}{x8}-{s{8}}^{8}
951,9,(√9)!!+(√9)!!/√9-9,l(s{9}r)!!+f{xl(s{9}r)!!}{xs{9}}-9
952,1,(1+1+1)!!+11*11+111,l(1+1+1r)!!+11t11+111
952,2,2*(22^2-2*(2+2)),2tl({22}^{2}-2tl(2+2r)r)
952,3,3!!+(3!!-3!)/3-3!,3!!+f{x3!!-3!}{x3}-3!
952,4,4!+4*(4^4-4!),4!+4tl({4}^{4}-4!r)
952,5,(5!*5!-5!)/(5+5+5),f{x5!t5!-5!}{x5+5+5}
952,6,6!+(6+6!+666)/6,6!+f{x6+6!+666}{x6}
952,7,7*7*(7+7+7)-77,7t7tl(7+7+7r)-77
952,8,8*8+888,8t8+888
952,9,((√9)!!-(√9)!)*(√9+9)/9,f{xl(l(s{9}r)!!-l(s{9}r)!r)tl(s{9}+9r)}{x9}
953,1,(1+1+1)!!+11+(1+1)*111,l(1+1+1r)!!+11+l(1+1r)t111
953,2,2*(22^2-2)-22/2,2tl({22}^{2}-2r)-f{x22}{x2}
953,3,3!!+(3!!-3)/3-3!,3!!+f{x3!!-3}{x3}-3!
953,4,(√4+√(44)^4)/√4-4*4,f{xs{4}+{s{44}}^{4}}{xs{4}}-4t4
953,5,(5+(5+5)/5)!/5-55,f{xl(5+f{x5+5}{x5}r)!}{x5}-55
953,6,6!+(6!+6!-6)/6-6,6!+f{x6!+6!-6}{x6}-6
953,7,(7+7/7)!/(7*7-7)-7,f{xl(7+f{x7}{x7}r)!}{x7t7-7}-7
953,8,8+(8!+8)/8-√8^8,8+f{x8!+8}{x8}-{s{8}}^{8}
953,9,(√9)!!+((√9)!!+(√9)!)/√9-9,l(s{9}r)!!+f{xl(s{9}r)!!+l(s{9}r)!}{xs{9}}-9
954,1,1111-(1+1+11)!/(11!)-1,1111-f{xl(1+1+11r)!}{x11!}-1
954,2,2*(2+2+22^2)-22,2tl(2+2+{22}^{2}r)-22
954,3,3!!+3!!/3-3!,3!!+f{x3!!}{x3}-3!
954,4,4!*(44-4)-√4-4,4!tl(44-4r)-s{4}-4
954,5,(√(√√(√(5!)+√(5!))^(5!/5))-√(5!))/√(5!)-5,f{xs{{s{\!\!s{s{5!}+s{5!}}}}^{f{5!}{5}}}-s{5!}}{xs{5!}}-5
954,6,6!+(6!+6!)/6-6,6!+f{x6!+6!}{x6}-6
