201,1,1+(1+1)*(111-11),1+l(1+1r)tl(111-11r)
201,2,(2+(22-2)^2)/2,f{x2+{l(22-2r)}^{2}}{x2}
201,3,3+3!*33,3+3!t33
201,4,(√4+√(4!-4)^4)/√4,f{xs{4}+{s{4!-4}}^{4}}{xs{4}}
201,5,(5+√(√√(5+5)^(5!/5)))/5,f{x5+s{{s{\!\!s{5+5}}}^{f{5!}{5}}}}{x5}
201,6,6/((6+6)/(6+6*66)),6tf{x6+6t66}{x6+6}
201,7,7*(7+7)+(7!+7)/7/7,7tl(7+7r)+f{x7!+7}{x7t7}
201,8,√(8!+√(√(8+8/8)^8)),s{8!+s{{s{8+f{x8}{x8}}}^{8}}}
201,9,√(9!/9+9*9),s{f{x9!}{x9}+9t9}
202,1,(1+1)/(11/1111),l(1+1r)tf{x1111}{x11}
202,2,2+222-22,2+222-22
202,3,(3!!-3!)/3-3!*3!,f{x3!!-3!}{x3}-3!t3!
202,4,4!+√4+4*44,4!+s{4}+4t44
202,5,5!+(555-5!)/5-5,5!+f{x555-5!}{x5}-5
202,6,6+√(6)^6-6!/6/6,6+{s{6}}^{6}-f{x6!}{x6t6}
202,7,7+(7+7)*(7+7)-7/7,7+l(7+7r)tl(7+7r)-f{x7}{x7}
202,8,8!/((√(8+8))!)/8-8,f{x8!}{xl(s{8+8}r)!t8}-8
202,9,(√9+√(9!+9^√9))/√9,f{xs{9}+s{9!+{9}^{s{9}}}}{xs{9}}
203,1,1+(1+1)/(11/1111),1+l(1+1r)tf{x1111}{x11}
203,2,2+(2+(22-2)^2)/2,2+f{x2+{l(22-2r)}^{2}}{x2}
203,3,(3^(3!)-3!!/(3!))/3,f{x{3}^{3!}-f{x3!!}{x3!}}{x3}
203,4,4!+((4!/4)!-4)/4,4!+f{xl(f{x4!}{x4}r)!-4}{x4}
203,5,(5^5-5)/(5+5+5)-5,f{x{5}^{5}-5}{x5+5+5}-5
203,6,√(6)^6-6/6-6-6,{s{6}}^{6}-f{x6}{x6}-6-6
203,7,7+(7+7)*(7+7),7+l(7+7r)tl(7+7r)
203,8,√(8!+8/8+888),s{8!+f{x8}{x8}+888}
203,9,((√9)!+√(9!+9^√9))/√9,f{xl(s{9}r)!+s{9!+{9}^{s{9}}}}{xs{9}}
204,1,(1+11)*((1+1+1)!+11),l(1+11r)tl(l(1+1+1r)!+11r)
204,2,2+2+222-22,2+2+222-22
204,3,3!+3!*33,3!+3!t33
204,4,4!+(4!/4)!/4,4!+f{xl(f{x4!}{x4}r)!}{x4}
204,5,5+5!+5!/5+55,5+5!+f{x5!}{x5}+55
204,6,√(6)^6-6-6,{s{6}}^{6}-6-6
204,7,(77*(7+77)-7!)/7,f{x77tl(7+77r)-7!}{x7}
204,8,√(8!+√(8-√√(8+8))^8),s{8!+{s{8-s{\!\!s{8+8}}}}^{8}}
204,9,((√9)!)^√9-√9-9,{l(s{9}r)!}^{s{9}}-s{9}-9
205,1,((1+1+1)!)^(1+1+1)-11,{l(1+1+1r)!}^{1+1+1}-11
205,2,222-2^(2+2)-2/2,222-{2}^{2+2}-f{x2}{x2}
205,3,(3!)^3-33/3,{3!}^{3}-f{x33}{x3}
205,4,4!+(4+(4!/4)!)/4,4!+f{x4+l(f{x4!}{x4}r)!}{x4}
205,5,5*(5!-55)-5!,5tl(5!-55r)-5!
