351,1,11*√(1+1)^(11-1)-1,11t{s{1+1}}^{11-1}-1
351,2,2^(2+2)*22-2/2,{2}^{2+2}t22-f{x2}{x2}
351,3,3*(3!!/(3!)-3),3tl(f{x3!!}{x3!}-3r)
351,4,(4+4)*44-4/4,l(4+4r)t44-f{x4}{x4}
351,5,5!+5!+555/5,5!+5!+f{x555}{x5}
351,6,(6!+6!+666)/6,f{x6!+6!+666}{x6}
351,7,7+(√7+√(7)^7)/√7,7+f{xs{7}+{s{7}}^{7}}{xs{7}}
351,8,√(8+8)*88-8/8,s{8+8}t88-f{x8}{x8}
351,9,9*(√9+(√9)!*(√9)!),9tl(s{9}+l(s{9}r)!tl(s{9}r)!r)
352,1,11*√(1+1)^(11-1),11t{s{1+1}}^{11-1}
352,2,2^(2+2)*22,{2}^{2+2}t22
352,3,(3+3!!+333)/3,f{x3+3!!+333}{x3}
352,4,(4+4)*44,l(4+4r)t44
352,5,55/((5/(5+5))^5)/5,f{x55}{x{l(f{x5}{x5+5}r)}^{5}t5}
352,6,√(6+6)^6/(6!/66-6),f{x{s{6+6}}^{6}}{xf{x6!}{x66}-6}
352,7,(7!-7-7)/(7+7)-7,f{x7!-7-7}{x7+7}-7
352,8,√(8+8)*88,s{8+8}t88
352,9,9+((√9)!+9/9)^√9,9+{l(l(s{9}r)!+f{x9}{x9}r)}^{s{9}}
353,1,1+11*√(1+1)^(11-1),1+11t{s{1+1}}^{11-1}
353,2,(22^2+222)/2,f{x{22}^{2}+222}{x2}
353,3,(3!!*3-3!)/(3!)-3!,f{x3!!t3-3!}{x3!}-3!
353,4,4/4+(4+4)*44,f{x4}{x4}+l(4+4r)t44
353,5,5+5!/((5+5)/(5+5!/5)),5+5!tf{x5+f{x5!}{x5}}{x5+5}
353,6,(6!+6!+6!-6)/6-6,f{x6!+6!+6!-6}{x6}-6
353,7,7!/(7+7)-7,f{x7!}{x7+7}-7
353,8,√(√(8+88/8)^8)-8,s{{s{8+f{x88}{x8}}}^{8}}-8
353,9,((√9)!!*√9-(√9)!)/((√9)!)-(√9)!,f{xl(s{9}r)!!ts{9}-l(s{9}r)!}{xl(s{9}r)!}-l(s{9}r)!
354,1,((1+1+1)!!-11-1)/(1+1),f{xl(1+1+1r)!!-11-1}{x1+1}
354,2,2+2^(2+2)*22,2+{2}^{2+2}t22
354,3,3*3!!/(3!)-3!,f{x3t3!!}{x3!}-3!
354,4,√4+(4+4)*44,s{4}+l(4+4r)t44
354,5,5!+5!+5!-5/5-5,5!+5!+5!-f{x5}{x5}-5
354,6,6*(66-6)-6,6tl(66-6r)-6
354,7,7*7*7+77/7,7t7t7+f{x77}{x7}
354,8,√√(8+8)+√(8+8)*88,s{\!\!s{8+8}}+s{8+8}t88
354,9,√9*(√9)!!/((√9)!)-(√9)!,f{xs{9}tl(s{9}r)!!}{xl(s{9}r)!}-l(s{9}r)!
355,1,(1+(1+1+1)!!-11)/(1+1),f{x1+l(1+1+1r)!!-11}{x1+1}
355,2,((2+2+2)!-2)/2-2-2,f{xl(2+2+2r)!-2}{x2}-2-2
355,3,(3!+3!!*3)/(3!)-3!,f{x3!+3!!t3}{x3!}-3!
355,4,((4!/4)!-√4)/√4-4,f{xl(f{x4!}{x4}r)!-s{4}}{xs{4}}-4
355,5,5!+5!+5!-5,5!+5!+5!-5
355,6,6+6+√(6+6/6)^6,6+6+{s{6+f{x6}{x6}}}^{6}
355,7,(7+7!-77)/(7+7),f{x7+7!-77}{x7+7}
355,8,√(8!+8)*(√8/8+√(√√(8+8))),s{8!+8}tl(f{xs{8}}{x8}+s{\!\!s{\!\!s{8+8}}}r)
355,9,(√9*((√9)!!-9)-√9)/((√9)!),f{xs{9}tl(l(s{9}r)!!-9r)-s{9}}{xl(s{9}r)!}
356,1,1+(1+(1+1+1)!!-11)/(1+1),1+f{x1+l(1+1+1r)!!-11}{x1+1}
356,2,(2+2+2)!/2-2-2,f{xl(2+2+2r)!}{x2}-2-2
356,3,(3!!*3-3!)/(3!)-3,f{x3!!t3-3!}{x3!}-3
356,4,(4!/4)!/√4-4,f{xl(f{x4!}{x4}r)!}{xs{4}}-4
356,5,5!+5!+5!+5/5-5,5!+5!+5!+f{x5}{x5}-5
356,6,√(6)^6+(6!+6!/6)/6,{s{6}}^{6}+f{x6!+f{x6!}{x6}}{x6}
356,7,(7!-7*7-7)/(7+7),f{x7!-7t7-7}{x7+7}
356,8,√(8+8)*(8/8+88),s{8+8}tl(f{x8}{x8}+88r)
356,9,(√9+√9*((√9)!!-9))/((√9)!),f{xs{9}+s{9}tl(l(s{9}r)!!-9r)}{xl(s{9}r)!}
357,1,(1+1+1)!!/(1+1)-1-1-1,f{xl(1+1+1r)!!}{x1+1}-1-1-1
357,2,((2+2+2)!-2)/2-2,f{xl(2+2+2r)!-2}{x2}-2
357,3,3*3!!/(3!)-3,f{x3t3!!}{x3!}-3
357,4,(√4+(4!/4)!)/√4-4,f{xs{4}+l(f{x4!}{x4}r)!}{xs{4}}-4
357,5,(√(5!)+√(5!)+√(5!))*(√(5!)-√(5!)/(5!)),l(s{5!}+s{5!}+s{5!}r)tl(s{5!}-f{xs{5!}}{x5!}r)
357,6,6*(6!-6)/(6+6),f{x6tl(6!-6r)}{x6+6}
357,7,7+7+7*7*7,7+7+7t7t7
357,8,√(√(8+88/8)^8)-√(8+8),s{{s{8+f{x88}{x8}}}^{8}}-s{8+8}
357,9,√9*(√9)!!/((√9)!)-√9,f{xs{9}tl(s{9}r)!!}{xl(s{9}r)!}-s{9}
358,1,(1+1+1)!!/(1+1)-1-1,f{xl(1+1+1r)!!}{x1+1}-1-1
358,2,(2+2+2)!/2-2,f{xl(2+2+2r)!}{x2}-2
358,3,(3*(3!!-3)-3)/(3!),f{x3tl(3!!-3r)-3}{x3!}
358,4,((4!/4)!-4)/√4,f{xl(f{x4!}{x4}r)!-4}{xs{4}}
358,5,5!+5!+5!-(5+5)/5,5!+5!+5!-f{x5+5}{x5}
358,6,(6!+6!+6!-6-6)/6,f{x6!+6!+6!-6-6}{x6}
358,7,(7+7)*77-7!/7,l(7+7r)t77-f{x7!}{x7}
358,8,8+√(8+8)*88-√√(8+8),8+s{8+8}t88-s{\!\!s{8+8}}
358,9,((√9)!!*√9-√9-9)/((√9)!),f{xl(s{9}r)!!ts{9}-s{9}-9}{xl(s{9}r)!}
359,1,(1+1+1)!!/(1+1)-1,f{xl(1+1+1r)!!}{x1+1}-1
359,2,((2+2+2)!-2)/2,f{xl(2+2+2r)!-2}{x2}
359,3,(3!!*3-3!)/(3!),f{x3!!t3-3!}{x3!}
359,4,((4!/4)!-√4)/√4,f{xl(f{x4!}{x4}r)!-s{4}}{xs{4}}
359,5,5!+5!+5!-5/5,5!+5!+5!-f{x5}{x5}
359,6,(6!+6!+6!-6)/6,f{x6!+6!+6!-6}{x6}
359,7,(7!-7-7)/(7+7),f{x7!-7-7}{x7+7}
359,8,8+√(8+8)*88-8/8,8+s{8+8}t88-f{x8}{x8}
359,9,((√9)!!*√9-(√9)!)/((√9)!),f{xl(s{9}r)!!ts{9}-l(s{9}r)!}{xl(s{9}r)!}
360,1,(1+1+1)!!/(1+1),f{xl(1+1+1r)!!}{x1+1}
360,2,(2+2+2)!/2,f{xl(2+2+2r)!}{x2}
360,3,3*3!!/(3!),f{x3t3!!}{x3!}
360,4,(4!/4)!/√4,f{xl(f{x4!}{x4}r)!}{xs{4}}
360,5,5!+5!+5!,5!+5!+5!
360,6,6*(66-6),6tl(66-6r)
360,7,7!/(7+7),f{x7!}{x7+7}
360,8,8+√(8+8)*88,8+s{8+8}t88
360,9,√9*(√9)!!/((√9)!),f{xs{9}tl(s{9}r)!!}{xl(s{9}r)!}
361,1,1+(1+1+1)!!/(1+1),1+f{xl(1+1+1r)!!}{x1+1}
361,2,(2+(2+2+2)!)/2,f{x2+l(2+2+2r)!}{x2}
361,3,(3!+3!!*3)/(3!),f{x3!+3!!t3}{x3!}
361,4,(√4+(4!/4)!)/√4,f{xs{4}+l(f{x4!}{x4}r)!}{xs{4}}
361,5,5!+5!+5!+5/5,5!+5!+5!+f{x5}{x5}
361,6,(6+6!+6!+6!)/6,f{x6+6!+6!+6!}{x6}
361,7,(7+7!+7)/(7+7),f{x7+7!+7}{x7+7}
361,8,√(√(8+88/8)^8),s{{s{8+f{x88}{x8}}}^{8}}
361,9,((√9)!+(√9)!!*√9)/((√9)!),f{xl(s{9}r)!+l(s{9}r)!!ts{9}}{xl(s{9}r)!}
362,1,1+1+(1+1+1)!!/(1+1),1+1+f{xl(1+1+1r)!!}{x1+1}
362,2,2+(2+2+2)!/2,2+f{xl(2+2+2r)!}{x2}
362,3,(3+3*(3!!+3))/(3!),f{x3+3tl(3!!+3r)}{x3!}
362,4,(4+(4!/4)!)/√4,f{x4+l(f{x4!}{x4}r)!}{xs{4}}
362,5,5!+5!+5!+(5+5)/5,5!+5!+5!+f{x5+5}{x5}
362,6,(6+6+6!+6!+6!)/6,f{x6+6+6!+6!+6!}{x6}
362,7,7!/(7+7)+(7+7)/7,f{x7!}{x7+7}+f{x7+7}{x7}
362,8,8/8+√(√(8+88/8)^8),f{x8}{x8}+s{{s{8+f{x88}{x8}}}^{8}}
362,9,(9+√9+(√9)!!*√9)/((√9)!),f{x9+s{9}+l(s{9}r)!!ts{9}}{xl(s{9}r)!}
363,1,(1+1+1)*11*11,l(1+1+1r)t11t11
363,2,2+(2+(2+2+2)!)/2,2+f{x2+l(2+2+2r)!}{x2}
363,3,3+3*3!!/(3!),3+f{x3t3!!}{x3!}
363,4,4+((4!/4)!-√4)/√4,4+f{xl(f{x4!}{x4}r)!-s{4}}{xs{4}}
363,5,5!+((5+5+5)/5)^5,5!+{l(f{x5+5+5}{x5}r)}^{5}
363,6,6*(6!+6)/(6+6),f{x6tl(6!+6r)}{x6+6}
363,7,(7!+7*7-7)/(7+7),f{x7!+7t7-7}{x7+7}
363,8,(√√(√(8)^(-8))+√(8+8))*88,l(s{\!\!s{{s{8}}^{-8}}}+s{8+8}r)t88
363,9,√9+√9*(√9)!!/((√9)!),s{9}+f{xs{9}tl(s{9}r)!!}{xl(s{9}r)!}
364,1,1+(1+1+1)*11*11,1+l(1+1+1r)t11t11
364,2,2+2+(2+2+2)!/2,2+2+f{xl(2+2+2r)!}{x2}
364,3,(3*3^(3!)-3)/(3!),f{x3t{3}^{3!}-3}{x3!}
364,4,4+(4!/4)!/√4,4+f{xl(f{x4!}{x4}r)!}{xs{4}}
364,5,5+5!+5!+5!-5/5,5+5!+5!+5!-f{x5}{x5}
364,6,((√6+√6)^6-6!)/6/6,f{x{l(s{6}+s{6}r)}^{6}-6!}{x6t6}
364,7,7+7+7+7*7*7,7+7+7+7t7t7
364,8,(8+(8-√√(8+8))!)/√√(8+8),f{x8+l(8-s{\!\!s{8+8}}r)!}{xs{\!\!s{8+8}}}
364,9,(√(9)^9/9-√9)/((√9)!),f{xf{x{s{9}}^{9}}{x9}-s{9}}{xl(s{9}r)!}
365,1,((1+1+1)!!+11-1)/(1+1),f{xl(1+1+1r)!!+11-1}{x1+1}
365,2,2+2+(2+(2+2+2)!)/2,2+2+f{x2+l(2+2+2r)!}{x2}
365,3,(3+3*3^(3!))/(3!),f{x3+3t{3}^{3!}}{x3!}
365,4,4+(√4+(4!/4)!)/√4,4+f{xs{4}+l(f{x4!}{x4}r)!}{xs{4}}
365,5,5+5!+5!+5!,5+5!+5!+5!
365,6,6+(6!+6!+6!-6)/6,6+f{x6!+6!+6!-6}{x6}
365,7,(7!+77-7)/(7+7),f{x7!+77-7}{x7+7}
365,8,√(8+8)+√(√(8+88/8)^8),s{8+8}+s{{s{8+f{x88}{x8}}}^{8}}
365,9,(√9+√(9)^9/9)/((√9)!),f{xs{9}+f{x{s{9}}^{9}}{x9}}{xl(s{9}r)!}
366,1,(1+1+1)*(11+111),l(1+1+1r)tl(11+111r)
366,2,((2+2)!/2)^2+222,{l(f{xl(2+2r)!}{x2}r)}^{2}+222
366,3,3!+3*3!!/(3!),3!+f{x3t3!!}{x3!}
366,4,4*(4!*4-4)-√4,4tl(4!t4-4r)-s{4}
366,5,5+5!+5!+5!+5/5,5+5!+5!+5!+f{x5}{x5}
366,6,6+6*(66-6),6+6tl(66-6r)
366,7,(7+7!+77)/(7+7),f{x7+7!+77}{x7+7}
366,8,8!/8/8-√(√(8+8)^8)-8,f{x8!}{x8t8}-s{{s{8+8}}^{8}}-8
366,9,(√9)!+√9*(√9)!!/((√9)!),l(s{9}r)!+f{xs{9}tl(s{9}r)!!}{xl(s{9}r)!}
367,1,1+(1+1+1)*(11+111),1+l(1+1+1r)tl(11+111r)
367,2,2^(2*(2+2))+222/2,{2}^{2tl(2+2r)}+f{x222}{x2}
367,3,3!+(3!+3!!*3)/(3!),3!+f{x3!+3!!t3}{x3!}
367,4,4!+√√(√((4!+4)/4)^(4!)),4!+s{\!\!s{{s{f{x4!+4}{x4}}}^{4!}}}
367,5,5!+(5+5)!/(5!)/(5!)-5,5!+f{xl(5+5r)!}{x5!t5!}-5
367,6,6+(6+6!+6!+6!)/6,6+f{x6+6!+6!+6!}{x6}
367,7,7+7!/(7+7),7+f{x7!}{x7+7}
367,8,√(√(8+8)^8)+888/8,s{{s{8+8}}^{8}}+f{x888}{x8}
367,9,(√9)!+((√9)!+(√9)!!*√9)/((√9)!),l(s{9}r)!+f{xl(s{9}r)!+l(s{9}r)!!ts{9}}{xl(s{9}r)!}
368,1,(1111-1)/(1+1+1)-1-1,f{x1111-1}{x1+1+1}-1-1
368,2,2*2*2*(2+2*22),2t2t2tl(2+2t22r)
368,3,3+(3+3*3^(3!))/(3!),3+f{x3+3t{3}^{3!}}{x3!}
368,4,4*(4!*4-4),4tl(4!t4-4r)
368,5,(5^5+555)/(5+5),f{x{5}^{5}+555}{x5+5}
368,6,6+(6+6+6!+6!+6!)/6,6+f{x6+6+6!+6!+6!}{x6}
368,7,7+(7+7!+7)/(7+7),7+f{x7+7!+7}{x7+7}
368,8,8+8+√(8+8)*88,8+8+s{8+8}t88
368,9,9+((√9)!!*√9-(√9)!)/((√9)!),9+f{xl(s{9}r)!!ts{9}-l(s{9}r)!}{xl(s{9}r)!}
369,1,(1111-1)/(1+1+1)-1,f{x1111-1}{x1+1+1}-1
369,2,((2+2+2)!+22)/2-2,f{xl(2+2+2r)!+22}{x2}-2
369,3,3*(3+3!!/(3!)),3tl(3+f{x3!!}{x3!}r)
369,4,(4+4/4)^4-4^4,{l(4+f{x4}{x4}r)}^{4}-{4}^{4}
369,5,5!+5*(55-5)-5/5,5!+5tl(55-5r)-f{x5}{x5}
369,6,6+6*(6!+6)/(6+6),6+f{x6tl(6!+6r)}{x6+6}
369,7,(7!+7*7+77)/(7+7),f{x7!+7t7+77}{x7+7}
369,8,8+√(√(8+88/8)^8),8+s{{s{8+f{x88}{x8}}}^{8}}
