801,1,1+(1+1+1)!!/(1-1/(11-1)),1+f{xl(1+1+1r)!!}{x1-f{x1}{x11-1}}
801,2,(2+(2*(22-2))^2)/2,f{x2+{l(2tl(22-2r)r)}^{2}}{x2}
801,3,3!!+3*3^3,3!!+3t{3}^{3}
801,4,(√4+√(44-4)^4)/√4,f{xs{4}+{s{44-4}}^{4}}{xs{4}}
801,5,(√5+(√5+√5)^5)/√5,f{xs{5}+{l(s{5}+s{5}r)}^{5}}{xs{5}}
801,6,6!+6^6/(6*√6^6-6!),6!+f{x{6}^{6}}{x6t{s{6}}^{6}-6!}
801,7,(77/7-7)!+777,l(f{x77}{x7}-7r)!+777
801,8,(8+√(√(88-8)^8))/8,f{x8+s{{s{88-8}}^{8}}}{x8}
801,9,(√9)!!+9*9,l(s{9}r)!!+9t9
802,1,(1+1)^(11-1)-(1+1)*111,{l(1+1r)}^{11-1}-l(1+1r)t111
802,2,2+2*(22-2)^2,2+2t{l(22-2r)}^{2}
802,3,3!!+(3!+3!!/3)/3,3!!+f{x3!+f{x3!!}{x3}}{x3}
802,4,√4+√(4*(4!-4)^4),s{4}+s{4t{l(4!-4r)}^{4}}
802,5,(√5+√5+(√5+√5)^5)/√5,f{xs{5}+s{5}+{l(s{5}+s{5}r)}^{5}}{xs{5}}
802,6,6!+(6!-√6^6-6-6)/6,6!+f{x6!-{s{6}}^{6}-6-6}{x6}
802,7,7+(7!-7-7)/7+77,7+f{x7!-7-7}{x7}+77
802,8,(√8^8-888)/√(8+8),f{x{s{8}}^{8}-888}{xs{8+8}}
802,9,(√9)!!+9/9+9*9,l(s{9}r)!!+f{x9}{x9}+9t9
803,1,11*(1+(1+1+1)!*(1+11)),11tl(1+l(1+1+1r)!tl(1+11r)r)
803,2,(2+√2^22)/2-222,f{x2+{s{2}}^{22}}{x2}-222
803,3,3+3!!+3!!/3/3,3+3!!+f{x3!!}{x3t3}
803,4,4+(√(44-4)^4-√4)/√4,4+f{x{s{44-4}}^{4}-s{4}}{xs{4}}
803,5,(5+(5!+5!)/5/5)*55,l(5+f{x5!+5!}{x5t5}r)t55
803,6,6!+(6!-√6^6-6)/6,6!+f{x6!-{s{6}}^{6}-6}{x6}
803,7,7+(7!-7)/7+77,7+f{x7!-7}{x7}+77
803,8,(8+(8+8/8)/8)*88,l(8+f{x8+f{x8}{x8}}{x8}r)t88
803,9,√9+(√9)!!+(√9)!!/9,s{9}+l(s{9}r)!!+f{xl(s{9}r)!!}{x9}
804,1,(1+11)*(1+(1+1+1)!*11),l(1+11r)tl(1+l(1+1+1r)!t11r)
804,2,2*(2+(22-2)^2),2tl(2+{l(22-2r)}^{2}r)
804,3,3+3!!+3*3^3,3+3!!+3t{3}^{3}
804,4,4+√(4*(4!-4)^4),4+s{4t{l(4!-4r)}^{4}}
804,5,5+((√5+√5)^5-√5)/√5,5+f{x{l(s{5}+s{5}r)}^{5}-s{5}}{xs{5}}
804,6,6!+(6!-√6^6)/6,6!+f{x6!-{s{6}}^{6}}{x6}
804,7,7+7!/7+77,7+f{x7!}{x7}+77
804,8,√(√(8!)/((√(8+8))!))^8-√8^8,{s{f{xs{8!}}{xl(s{8+8}r)!}}}^{8}-{s{8}}^{8}
804,9,√9+(√9)!!+9*9,s{9}+l(s{9}r)!!+9t9
805,1,1+(1+11)*(1+(1+1+1)!*11),1+l(1+11r)tl(1+l(1+1+1r)!t11r)
805,2,2/2+2*(2+(22-2)^2),f{x2}{x2}+2tl(2+{l(22-2r)}^{2}r)
