651,1,11+(11-1)*√(1+1)^(1+11),11+l(11-1r)t{s{1+1}}^{1+11}
651,2,2/2+(2+(2+2)!)!/((2+2)!)!,f{x2}{x2}+f{xl(2+l(2+2r)!r)!}{xl(2+2r)!!}
651,3,3+3*(3!)^3,3+3t{3!}^{3}
651,4,((4!+√4)!+4!!)/4!!,f{xl(4!+s{4}r)!+4!!}{x4!!}
651,5,(√(√√√(5)^(5!)/5)-5)/(5!),f{xs{f{x{s{\!\!s{\!\!s{5}}}}^{5!}}{x5}}-5}{x5!}
651,6,(√(6)^6+6^6)/(6+66),f{x{s{6}}^{6}+{6}^{6}}{x6+66}
651,7,7+(7!+7)/7-77,7+f{x7!+7}{x7}-77
651,8,88/8+8*(88-8),f{x88}{x8}+8tl(88-8r)
651,9,√9+√9*((√9)!)^√9,s{9}+s{9}t{l(s{9}r)!}^{s{9}}
652,1,(1+1+1)!*(111-1-1)-1-1,l(1+1+1r)!tl(111-1-1r)-1-1
652,2,(2+(2+2)!)^2-(2+2)!,{l(2+l(2+2r)!r)}^{2}-l(2+2r)!
652,3,3+3/3+3*(3!)^3,3+f{x3}{x3}+3t{3!}^{3}
652,4,√(√4+4!)^4-4!,{s{s{4}+4!}}^{4}-4!
652,5,(5!+√(√√√(5)^(5!)/5)-5)/(5!),f{x5!+s{f{x{s{\!\!s{\!\!s{5}}}}^{5!}}{x5}}-5}{x5!}
652,6,6!-((6+6)/6+66),6!-l(f{x6+6}{x6}+66r)
652,7,7+(7+7!+7)/7-77,7+f{x7+7!+7}{x7}-77
652,8,√(8+8)+√(√(√8+√8*8)^8),s{8+8}+s{{s{s{8}+s{8}t8}}^{8}}
652,9,√9+9^√9-(√9)!!/9,s{9}+{9}^{s{9}}-f{xl(s{9}r)!!}{x9}
653,1,(1+1+1)!*(111-1-1)-1,l(1+1+1r)!tl(111-1-1r)-1
653,2,22^2+(2+22/2)^2,{22}^{2}+{l(2+f{x22}{x2}r)}^{2}
653,3,3!!-(3!/3)^(3!)-3,3!!-{l(f{x3!}{x3}r)}^{3!}-3
653,4,4+((4!+√4)!-4!!)/4!!,4+f{xl(4!+s{4}r)!-4!!}{x4!!}
653,5,5+(5!+5^5-5)/5,5+f{x5!+{5}^{5}-5}{x5}
653,6,6!-(6/6+66),6!-l(f{x6}{x6}+66r)
653,7,(7!+77-7)/7-77,f{x7!+77-7}{x7}-77
653,8,(√(8+8))!+(8!/8-8)/8,l(s{8+8}r)!+f{xf{x8!}{x8}-8}{x8}
653,9,(√9)!!-√(9+9!/9/9),l(s{9}r)!!-s{9+f{x9!}{x9t9}}
654,1,(1+1+1)!*(111-1-1),l(1+1+1r)!tl(111-1-1r)
654,2,(2+(2+2)!)^2-22,{l(2+l(2+2r)!r)}^{2}-22
654,3,3!+3*(3!)^3,3!+3t{3!}^{3}
654,4,4+(√4+4!)!/(4!)!,4+f{xl(s{4}+4!r)!}{x4!!}
654,5,5+(5!+5^5)/5,5+f{x5!+{5}^{5}}{x5}
654,6,6!-66,6!-66
654,7,(7!+77)/7-77,f{x7!+77}{x7}-77
654,8,(√(8+8))!+8!/8/8,l(s{8+8}r)!+f{x8!}{x8t8}
654,9,(√9)!+√9*((√9)!)^√9,l(s{9}r)!+s{9}t{l(s{9}r)!}^{s{9}}
655,1,(1+1+1)!*111-11,l(1+1+1r)!t111-11
655,2,2/2+(2+(2+2)!)^2-22,f{x2}{x2}+{l(2+l(2+2r)!r)}^{2}-22
655,3,3!+3/3+3*(3!)^3,3!+f{x3}{x3}+3t{3!}^{3}
655,4,4+((4!+√4)!+4!!)/4!!,4+f{xl(4!+s{4}r)!+4!!}{x4!!}
655,5,5!*5+55,5!t5+55
655,6,6!-(66-6/6),6!-66+f{x6}{x6}
655,7,(7+7!+77)/7-77,f{x7+7!+77}{x7}-77
655,8,(√(8+8))!+(8+8!/8)/8,l(s{8+8}r)!+f{x8+f{x8!}{x8}}{x8}
655,9,(√9)!+9^√9-(√9)!!/9,l(s{9}r)!+{9}^{s{9}}-f{xl(s{9}r)!!}{x9}
656,1,(1+1+1)!!-√(1+1)^(1+11),l(1+1+1r)!!-{s{1+1}}^{1+11}
656,2,(2+2+2)!-√(√(2)^((2+2)!)),l(2+2+2r)!-s{{s{2}}^{l(2+2r)!}}
656,3,3!!-(3!/3)^(3!),3!!-{l(f{x3!}{x3}r)}^{3!}
656,4,(4!/4)!-√√(√(4)^(4!)),l(f{x4!}{x4}r)!-s{\!\!s{{s{4}}^{4!}}}
656,5,5/5+5!*5+55,f{x5}{x5}+5!t5+55
656,6,6!-((6+6)/6)^6,6!-{l(f{x6+6}{x6}r)}^{6}
656,7,7+7!/7-√(7!+7/7),7+f{x7!}{x7}-s{7!+f{x7}{x7}}
656,8,√(8*(8!+8))+88,s{8tl(8!+8r)}+88
656,9,(√9)!!-((√9)!/√9)^((√9)!),l(s{9}r)!!-{l(f{xl(s{9}r)!}{xs{9}}r)}^{l(s{9}r)!}
657,1,1+(1+1+1)!!-√(1+1)^(1+11),1+l(1+1+1r)!!-{s{1+1}}^{1+11}
657,2,((2+2)!)^2+(22/2-2)^2,{l(2+2r)!}^{2}+{l(f{x22}{x2}-2r)}^{2}
657,3,3*(3+(3!)^3),3tl(3+{3!}^{3}r)
657,4,4!*(4!+√√(√(4!)/4)^(4!)),4!tl(4!+{s{\!\!s{f{xs{4!}}{x4}}}}^{4!}r)
657,5,5^5/5+((5+5)/5)^5,f{x{5}^{5}}{x5}+{l(f{x5+5}{x5}r)}^{5}
657,6,6!-(6!+6*6)/(6+6),6!-f{x6!+6t6}{x6+6}
657,7,7+7+7!/7-77,7+7+f{x7!}{x7}-77
657,8,8+8+(8!/8+88)/8,8+8+f{xf{x8!}{x8}+88}{x8}
657,9,9+√9*((√9)!)^√9,9+s{9}t{l(s{9}r)!}^{s{9}}
658,1,(1+1+1)!*(111-1)-1-1,l(1+1+1r)!tl(111-1r)-1-1
658,2,2+(2+2+2)!-√(√(2)^((2+2)!)),2+l(2+2+2r)!-s{{s{2}}^{l(2+2r)!}}
658,3,3/3+3*(3+(3!)^3),f{x3}{x3}+3tl(3+{3!}^{3}r)
658,4,(4!+4)*(4!-√4/4),l(4!+4r)tl(4!-f{xs{4}}{x4}r)
658,5,5+5+(5!+5^5-5)/5,5+5+f{x5!+{5}^{5}-5}{x5}
658,6,(6!+6^6)/(6+66),f{x6!+{6}^{6}}{x6+66}
