901,1,1+((1+1+1)*(11-1))^(1+1),1+{l(l(1+1+1r)tl(11-1r)r)}^{1+1}
901,2,2/2+(2*(2+2)+22)^2,f{x2}{x2}+{l(2tl(2+2r)+22r)}^{2}
901,3,3/3+(33-3)^(3!/3),f{x3}{x3}+{l(33-3r)}^{f{3!}{3}}
901,4,4/4+√(4+√4+4!)^4,f{x4}{x4}+{s{4+s{4}+4!}}^{4}
901,5,(5+5^5)/5+5*55,f{x5+{5}^{5}}{x5}+5t55
901,6,6/6+6*(√6^6-66),f{x6}{x6}+6tl({s{6}}^{6}-66r)
901,7,(7!+7!)/7-7*77,f{x7!+7!}{x7}-7t77
901,8,((88/8)!-8!)/(8!)-88,f{xl(f{x88}{x8}r)!-8!}{x8!}-88
901,9,9+9/9+9*99,9+f{x9}{x9}+9t99
902,1,11*(1+(11-1-1)^(1+1)),11tl(1+{l(11-1-1r)}^{1+1}r)
902,2,2+(2*(2+2)+22)^2,2+{l(2tl(2+2r)+22r)}^{2}
902,3,33/3+3^3*33,f{x33}{x3}+{3}^{3}t33
902,4,√4+√(4+√4+4!)^4,s{4}+{s{4+s{4}+4!}}^{4}
902,5,(5+5+5^5)/5+5*55,f{x5+5+{5}^{5}}{x5}+5t55
902,6,6!+(6!/6/6-6)!/((6+6)!),6!+f{xl(f{x6!}{x6t6}-6r)!}{xl(6+6r)!}
902,7,(7+7!+7!)/7-7*77,f{x7+7!+7!}{x7}-7t77
902,8,(88/8)!/(8!)-88,f{xl(f{x88}{x8}r)!}{x8!}-88
902,9,99/9+9*99,f{x99}{x9}+9t99
903,1,(1+1)^(11-1)-11*11,{l(1+1r)}^{11-1}-11t11
903,2,(√2^22-22^2/2)/2,f{x{s{2}}^{22}-f{x{22}^{2}}{x2}}{x2}
903,3,3!!+(3!)^3-33,3!!+{3!}^{3}-33
903,4,(√4+4^4)*(4-√4/4),l(s{4}+{4}^{4}r)tl(4-f{xs{4}}{x4}r)
903,5,(5-5/5)^5-5/5-5!,{l(5-f{x5}{x5}r)}^{5}-f{x5}{x5}-5!
903,6,(6+6)*66+666/6,l(6+6r)t66+f{x666}{x6}
903,7,7+√√√7*(√√√7+√√√7)^7,7+s{\!\!s{\!\!s{7}}}t{l(s{\!\!s{\!\!s{7}}}+s{\!\!s{\!\!s{7}}}r)}^{7}
903,8,8+8+888-8/8,8+8+888-f{x8}{x8}
903,9,9+√9+9*99,9+s{9}+9t99
904,1,(1+1)^(11-1)-((1+1+1)!-1)!,{l(1+1r)}^{11-1}-l(l(1+1+1r)!-1r)!
904,2,2*2*(2+2+222),2t2tl(2+2+222r)
904,3,(3!!+(3!)^(3!)/3)/(3!)/3,f{x3!!+f{x{3!}^{3!}}{x3}}{x3!t3}
904,4,4!+(4!-4)*44,4!+l(4!-4r)t44
904,5,(5-5/5)^5-5!,{l(5-f{x5}{x5}r)}^{5}-5!
904,6,6!+(6!-6-6)/6+66,6!+f{x6!-6-6}{x6}+66
904,7,7+(7+√√7*(√√7+√√7)^7)/7,7+f{x7+s{\!\!s{7}}t{l(s{\!\!s{7}}+s{\!\!s{7}}r)}^{7}}{x7}
904,8,8+8+888,8+8+888
904,9,(9*√(9!+9^√9)-√9)/((√9)!),f{x9ts{9!+{9}^{s{9}}}-s{9}}{xl(s{9}r)!}
905,1,1+(1+1)^(11-1)-((1+1+1)!-1)!,1+{l(1+1r)}^{11-1}-l(l(1+1+1r)!-1r)!
905,2,(2+√2^(-2))*(2+(2+2+2)!/2),l(2+{s{2}}^{-2}r)tl(2+f{xl(2+2+2r)!}{x2}r)
905,3,(3!!+3!*333-3)/3,f{x3!!+3!t333-3}{x3}
905,4,4^4+((4!+√4)!-4!!)/4!!,{4}^{4}+f{xl(4!+s{4}r)!-4!!}{x4!!}
905,5,5+5*(5+5!+55),5+5tl(5+5!+55r)
905,6,6!+(6!-6)/6+66,6!+f{x6!-6}{x6}+66
905,7,((7+7)/7)^7+777,{l(f{x7+7}{x7}r)}^{7}+777
905,8,8+8+8/8+888,8+8+f{x8}{x8}+888
905,9,9+9!/((√9)!*9-9)/9,9+f{x9!}{xl(l(s{9}r)!t9-9r)t9}
