25#8[4] 8/8+(√(8+8))!
25#9[4] (9+((√9)!)^√9)/9
26#1[6] (1+1)*(1+1+11)
26#2[3] 2+(2+2)!
26#3[4] 3^3-3/3
26#4[2] √4+4!
26#5[4] 5/5+5*5
26#6[4] 6+6!/6/6
26#7[6] 7+7+(7+77)/7
26#8[4] (√(8+8))!+√√(8+8)
26#9[4] √9*9-9/9
27#1[6] (1+1+1)^(1+1+1)
27#2[5] 2+2/2+(2+2)!
27#3[2] 3^3
27#4[4] 4+4!-4/4
27#5[5] ((5+5)/5)^5-5
27#6[4] (6/√(6+6))^6
27#7[5] √(7+(7+7!+7)/7)
27#8[5] 8+8+88/8
27#9[2] √9*9
28#1[7] (1+1)*(1+1+1+11)
28#2[4] 2+2+(2+2)!
28#3[4] 3^3+3/3
28#4[2] 4!+4
28#5[4] 5+(5!-5)/5
28#6[5] √(6!+((6+6)/6)^6)
28#7[4] 77-7*7
28#8[4] (√(8+8))!+√(8+8)
28#9[4] √9*9+9/9
29#1[7] (1+1+1)*(11-1)-1
29#2[6] 2+2+2/2+(2+2)!
29#3[4] 3!/3+3^3
29#4[4] 4+4!+4/4
29#5[3] 5+5!/5
29#6[4] √(6!+(6!+6)/6)
29#7[6] 7+(77+77)/7
29#8[6] 888/((√(8+8))!)-8
29#9[4] √9*(9+(√9)!/9)
30#1[6] (1+1+1)*(11-1)
30#2[5] 2*(2+2)+22
30#3[3] 33-3
30#4[3] 4+√4+4!
30#5[3] 5+5*5
30#6[3] 6*6-6
30#7[6] 7!/((77/7-7)!)/7
30#8[5] 8+88/√(8+8)
30#9[3] √9+√9*9
31#1[6] √(1+1)^(11-1)-1
31#2[5] (√(√(2)^((2+2)!))-2)/2
31#3[4] 33-3!/3
31#4[4] 4!+(4!+4)/4
31#5[4] 55-5!/5
31#6[5] (6+√(6)^6)/6-6
31#7[5] 7+(77/7-7)!
31#8[5] (√(√(8+8)^8)-8)/8
31#9[4] (99-(√9)!)/√9
32#1[5] √(1+1)^(11-1)
32#2[4] 2*2^(2+2)
32#3[4] 33-3/3
32#4[3] 4*(4+4)
32#5[4] ((5+5)/5)^5
32#6[5] 6+6+6!/6/6
32#7[6] 7+7+7+77/7
32#8[3] 8*√(8+8)
32#9[4] (99-√9)/√9
33#1[5] (1+1+1)*11
33#2[5] 22+22/2
33#3[2] 33
33#4[4] (√4+√√(√(4)^(4!)))/√4
33#5[5] 5+5+(5!-5)/5
33#6[5] 6/((6+6)/66)
33#7[6] 7!/(7*7+77)-7
33#8[5] (8+√(√(8+8)^8))/8
33#9[3] 99/√9
34#1[6] 1+(1+1+1)*11
34#2[5] (2+2+2)^2-2
34#3[4] 3/3+33
34#4[4] √4+4*(4+4)
34#5[4] 5+5+5!/5
34#6[5] (√(6)^6-6-6)/6
34#7[6] 777/7-77
34#8[5] √√(8+8)+8*√(8+8)
34#9[4] (√9+99)/√9
35#1[6] (1+1+1+1)!+11
35#2[5] (2+2)!+22/2
35#3[4] 3!/3+33
35#4[4] 4!+44/4
35#5[4] 5+5+5*5
35#6[4] (√(6)^6-6)/6
35#7[4] 7*7-7-7
35#8[5] (√(8+8))!+88/8
35#9[4] ((√9)!+99)/√9
36#1[5] ((1+1+1)!)^(1+1)
36#2[4] (2+2+2)^2
36#3[2] 3!*3!
36#4[3] √(4!/4)^4
36#5[5] 5*5+55/5
36#6[2] 6*6
36#7[6] 7/7+7*7-7-7
36#8[4] √(√(8-√√(8+8))^8)
36#9[2] (√9)!*(√9)!
37#1[6] 111/(1+1+1)
37#2[6] 222/(2+2+2)
37#3[4] 3!*3!+3/3
37#4[4] 4!+(√4+4!)/√4
37#5[5] 5+((5+5)/5)^5
37#6[4] (6+√(6)^6)/6
37#7[6] 777/(7+7+7)
37#8[5] 888/((√(8+8))!)
37#9[4] (√9)!!/(9+9)-√9
38#1[7] 1+111/(1+1+1)
38#2[5] 2*(22-2)-2
38#3[4] 3!*3!+3!/3
38#4[4] 44-√4-4
38#5[5] (5!+5!)/5-5-5
38#6[5] (6+6+√(6)^6)/6
38#7[5] 7*7-77/7
38#8[6] 8+8+88/√(8+8)
38#9[4] (√9)!*((√9)!+√9/9)
39#1[7] (1+1+1)*(1+1+11)
39#2[6] 2*(22-2)-2/2
39#3[3] 3!+33
39#4[5] 44-4/4-4
39#5[5] 5+5+5+5!/5
39#6[5] 6*(6+6/(6+6))
39#7[6] (7+7*77)/(7+7)
39#8[6] 88-√(√(8-8/8)^8)
39#9[3] √9+(√9)!*(√9)!
40#1[7] (1+1)*(1+1)*(11-1)
40#2[4] 2*(22-2)
40#3[3] 3!!/(3!)/3
40#4[3] 44-4
40#5[5] 55-5-5-5
40#6[4] 6!/(6+6+6)
40#7[5] 7!/(7*7+77)
40#8[4] 8+8*√(8+8)
40#9[3] (√9)!!/(9+9)
41#1[8] (1+1)*(11+11-1)-1
41#2[6] 2*22-2/2-2
41#3[4] (3+3!!/(3!))/3
41#4[4] √((4!+(4+4)!)/(4!))
41#5[5] 5!-(5!/5+55)
41#6[5] 6+(√(6)^6-6)/6
41#7[5] 7*7-7/7-7
41#8[5] √(√(8-8/8)^8)-8
41#9[4] (√9+(√9)!!/((√9)!))/√9
42#1[7] (1+1)*(11+11-1)
42#2[4] 2*22-2
42#3[3] 3!+3!*3!
42#4[3] 44-√4
42#5[5] (5!+5!-5)/5-5
42#6[3] 6+6*6
42#7[3] 7*7-7
42#8[6] 8*8-88/√(8+8)
42#9[3] (√9)!+(√9)!*(√9)!
43#1[7] (1+1)*(11+11)-1
43#2[5] 2*22-2/2
43#3[4] 3+3!!/(3!)/3
43#4[4] 44-4/4
43#5[4] (5!+5!)/5-5
43#6[5] 6+(6+√(6)^6)/6
43#7[5] 7/7+7*7-7
43#8[6] (√(8+8)*88-8)/8
43#9[4] √9+(√9)!!/(9+9)
44#1[6] (1+1)*(11+11)
44#2[3] 2*22
44#3[5] 33+33/3
44#4[2] 44
44#5[5] 55-55/5
44#6[6] 6+(6+6+√(6)^6)/6
44#7[6] 7*7+(7+7)/7-7
44#8[4] 88/√√(8+8)
44#9[4] (√9)!!/9-(√9)!*(√9)!
45#1[7] 1+(1+1)*(11+11)
45#2[5] 2/2+2*22
45#3[4] 3*(3!*3-3)
45#4[4] 4/4+44
45#5[4] 55-5-5
45#6[6] 666/6-66
45#7[6] 7+7*7-77/7
45#8[5] 8!/(8+888)
45#9[3] (√9)!*9-9
46#1[7] (1+1)*(1+11+11)
46#2[4] 2+2*22
46#3[4] 3!+3!!/(3!)/3
46#4[3] √4+44
46#5[5] (5!+5!-5-5)/5
46#6[5] 66-6!/6/6
46#7[6] 7*7-(7+7+7)/7
46#8[6] 8*8-√√(8+8)-8-8
46#9[4] (√9)!+(√9)!!/(9+9)
47#1[7] ((1+1+1)!)^(1+1)+11
47#2[5] 2*(2+2)!-2/2
47#3[5] 3!*3!+33/3
47#4[4] 4!+4!-4/4
47#5[4] (5!+5!-5)/5
47#6[5] (√(6)^6+66)/6
47#7[5] 7*7-(7+7)/7
47#8[5] √((8!+8)/8)-(√(8+8))!
47#9[4] 9!/((√9)!!)/9-9
48#1[6] (1+1)*(1+1+1+1)!
48#2[3] 2*(2+2)!
48#3[4] 3*3!*3-3!
48#4[2] 4!+4!
48#5[3] (5!+5!)/5
48#6[4] 6+6+6*6
48#7[4] 7*7-7/7
48#8[4] 8*8-8-8
48#9[3] (√9)!*9-(√9)!
49#1[6] (1+(1+1+1)!)^(1+1)
49#2[5] 2/2+2*(2+2)!
49#3[5] (3!+3/3)^(3!/3)
49#4[4] √((4!+4)/4)^4
49#5[4] 5!/5+5*5
49#6[5] √((6!+√(6!/6)^6)/(6!))
49#7[2] 7*7
49#8[4] √(√(8-8/8)^8)
49#9[4] 9+(√9)!!/(9+9)
50#1[7] (111-11)/(1+1)
50#2[4] 2+2*(2+2)!
50#3[5] ((3!/3)^3)!/(3!!)-3!
50#4[3] 4!+√4+4!
50#5[3] 55-5
50#6[5] (6!-6!/6)/(6+6)
50#7[4] 7/7+7*7
50#8[5] √(√(√8+√8+√(√√(8+8)))^8)
50#9[4] (√9)!*(9-(√9)!/9)
51#1[8] 1+(111-11)/(1+1)
51#2[6] 2+2/2+2*(2+2)!
51#3[4] 3!*3+33
51#4[4] 4!*(√4+√√√(√(4)^(-4!)))
51#5[5] 5/5+55-5
51#6[6] (6!-6*6)/(6+6)-6
51#7[5] 7*7+(7+7)/7
51#8[6] √√(8+8)+√(√(8-8/8)^8)
51#9[3] (√9)!*9-√9
52#1[8] √(1+1)^(1+11)-11-1
52#2[4] 2*(2+(2+2)!)
52#3[5] (3!*3^3-3!)/3
52#4[3] 4+4!+4!
52#5[5] 5+(5!+5!-5)/5
52#6[6] ((6+6)/6)^6-6-6
52#7[6] 7*7+(7+7+7)/7
52#8[5] 8*8-√(8+8)-8
52#9[4] (√9)!*(9-√9/9)
53#1[7] √(1+1)^(1+11)-11
53#2[6] (2+√(2)^(-2))*22-2
53#3[5] (3!*3^3-3)/3
53#4[5] (4^4-44)/4
53#5[4] 5+(5!+5!)/5
53#6[5] (6!-6)/6-66
53#7[5] 7!/(7+77)-7
53#8[5] 8*8-88/8
53#9[4] (√9)!*9-9/9
54#1[7] (111-1)/(1+1)-1
54#2[5] 2+2*(2+(2+2)!)
54#3[3] 3*3!*3
54#4[4] (4!/4)^4/(4!)
54#5[4] 55-5/5
54#6[4] 66-6-6
54#7[6] 7+7*7-(7+7)/7
54#8[5] 8*8-√√(8+8)-8
54#9[2] (√9)!*9
55#1[6] (111-1)/(1+1)
55#2[5] (2+√(2)^(-2))*22
55#3[5] (333-3)/(3!)
55#4[5] 44+44/4
55#5[2] 55
55#6[5] 66-66/6
55#7[5] 7+7*7-7/7
55#8[5] 8*8-8/8-8
55#9[4] (√9)!*9+9/9
